message,label
"Hey, how are you?",0
Congratulations! You've won a prize!,1
Let's meet at 3 PM.,0
"Free offer, limited time!",1
Can you send me the report?,0
Click here to claim your reward.,1
Dinner tonight?,0
Exclusive deal just for you!,1
Please call me back.,0
Win a free vacation now!,1
Are you available tomorrow?,0
"Limited time offer, act fast!",1
Happy birthday!,0
Your account has been compromised.,1
See you soon.,0
Get rich quick scheme!,1
Thank you for your help.,0
Urgent: Verify your information.,1
Let's catch up soon.,0
You've been selected for a prize.,1
How was your day?,0
Exclusive access to our sale.,1
Can we reschedule?,0
Win big with our lottery!,1
Good morning!,0
Your subscription is expiring.,1
Let's grab coffee.,0
Amazing opportunity awaits!,1
See you at the meeting.,0
Claim your free gift now!,1
